tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0069049,movie,The Other Side of the Wind,The Other Side of the Wind,0,2018.0,,122,Drama
tt0365545,movie,Nappily Ever After,Nappily Ever After,0,2018.0,,98,"Comedy,Drama,Romance"
tt0800325,movie,The Dirt,The Dirt,0,2019.0,,107,"Biography,Comedy,Drama"
tt0870154,movie,Jungle Cruise,Jungle Cruise,0,2021.0,,127,"Action,Adventure,Comedy"
tt0914376,tvMiniSeries,The Innocent Man,The Innocent Man,0,2018.0,2018,45,"Crime,Documentary"
tt10001132,tvEpisode,The Right One,The Right One,0,2019.0,,,Comedy
tt10001866,short,DNA,DNA,0,2019.0,,7,"Drama,Short"
tt10003056,tvEpisode,Dogs,Dogs,0,2018.0,,,Family
tt10003354,tvEpisode,Velvet Buzzsaw,Velvet Buzzsaw,0,2019.0,,,"Comedy,Talk-Show"
tt10003616,tvEpisode,Godzilla,Godzilla,0,2019.0,,,Comedy
tt10003872,tvEpisode,The Calling,The Calling,0,2019.0,,,Drama
tt10004008,tvEpisode,Traitors,Traitors,0,2019.0,,,Comedy
tt10004354,tvEpisode,Cabin Fever,Cabin Fever,0,2019.0,,20,Comedy
tt10004618,tvEpisode,Never Have I Ever,Never Have I Ever,0,2019.0,,26,"Comedy,Drama,Romance"
tt10004824,tvEpisode,What Lies Beneath,What Lies Beneath,0,2019.0,,42,"Action,Crime,Drama"
tt10005876,tvSeries,Uncovered,Uncovered,0,2019.0,,,Sport
tt10006006,movie,A Christmas Prince: The Royal Baby,A Christmas Prince: The Royal Baby,0,2019.0,,84,"Family,Romance"
tt10006180,short,Destiny,Destiny,0,2019.0,,17,"Drama,Short"
tt10006684,short,The Promise,The Promise,0,2018.0,,4,"Comedy,Short"
tt10007258,tvEpisode,Cursed,Cursed,0,2019.0,,26,"Action,Crime,Drama"
tt10009170,tvSeries,Blood of Zeus,Blood of Zeus,0,2020.0,2025,30,"Action,Adventure,Animation"
tt10009796,tvSpecial,Kevin Hart: Irresponsible,Kevin Hart: Irresponsible,0,2019.0,,60,Comedy
tt10010024,tvEpisode,The Unicorn,The Unicorn,0,2019.0,,,"Action,Adventure,Animation"
