tconst,averageRating,numVotes
tt0069049,6.7,8464
tt0365545,6.4,10315
tt0800325,7.0,60014
tt0870154,6.5,225717
tt0914376,7.3,6952
tt10004354,7.6,176
tt10004618,6.8,135
tt10004824,7.8,601
tt10006006,5.4,8759
tt10009170,7.5,28270
tt10009796,6.6,5385
tt10010024,7.6,21
tt10011298,6.2,4565
tt10011422,9.0,639
tt10011480,7.6,102
tt10011508,7.3,2296
tt10012888,7.9,165
tt10013634,7.3,13
tt10018086,7.0,347
tt10022384,5.5,1116
tt10023024,4.7,11230
tt10023452,9.2,35670
tt10023518,8.1,15
tt10025196,5.4,13
tt10026266,8.6,59
tt10026274,9.0,65
tt10027946,6.6,1085
tt10027982,7.3,36
tt10027990,6.5,1733
tt10032298,9.7,16
tt10037034,7.4,3224
tt10037264,6.3,19
tt10039468,6.5,640
tt10041316,7.7,32
tt10042404,6.8,30
tt10044704,6.2,253
tt10044952,6.6,3021
tt10048342,8.5,652616
tt10048392,6.8,7
tt10048556,3.7,410
tt10049610,6.3,720
tt10050752,6.5,347
tt10050766,7.7,1920
tt10050772,8.1,26187
tt10050780,7.2,4660
tt10054316,4.4,2841
tt10055028,7.4,1345
tt10055734,7.1,4509
tt10060094,5.6,22407
tt10061256,4.4,660
tt10061484,6.1,61
tt10061486,6.3,64
tt10062292,7.8,93150
tt10062614,5.4,4952
tt10062628,6.1,254
tt10064124,7.1,3046
tt10065398,6.4,9
tt10066526,6.8,208
tt10066726,7.7,17
tt10069398,7.7,20317
tt10073018,6.0,9
tt10075318,6.9,25673
tt10075374,7.0,6
tt10075934,9.2,162
tt10075946,8.6,119
tt10076106,4.7,954
tt10076428,5.3,35
tt10076722,5.2,231
tt10078502,7.2,426
tt10078900,5.4,17
tt10080424,7.5,2334
tt10080860,8.4,1193
tt10081202,7.1,478
tt10081210,3.4,162
tt10084446,8.9,566
tt10084462,8.0,500
tt10084892,5.9,16
tt10085240,5.7,15
tt10085386,6.8,629
tt10087288,8.1,298
tt10087292,8.1,285
tt10087694,4.3,161
tt10087988,5.6,101
tt10091530,5.0,3444
tt10092752,5.2,3063
tt10092764,7.3,159
tt10094366,7.4,262
tt10094404,8.6,168
tt10095336,6.8,1653
tt10098442,6.1,71
tt10098620,7.5,15142
tt10101440,7.4,10
tt10101518,5.9,4956
tt10102218,6.6,35
tt10102376,6.4,27
tt10105250,8.3,89
tt10106108,7.1,2176
tt10108544,5.7,934
tt10108828,7.6,9
tt10112128,7.3,21
tt10120324,6.9,55
tt10120734,4.3,207
tt10121762,7.0,1027
tt10122020,7.7,2536
tt10125638,8.1,804
tt10127684,6.1,10690
tt10128800,5.5,38
tt10129738,6.3,23
tt10130118,7.8,129
tt10133076,5.5,20
tt10134440,7.8,214
tt10136640,7.7,231
tt10136680,4.8,436
tt10137786,7.8,255
tt10141612,7.1,96
tt10141742,7.5,230
tt10145110,4.7,512
tt10147520,6.6,5040
tt10151028,5.6,2815
tt10151030,6.3,1592
tt10151478,7.8,33
tt10151772,6.1,1749
tt10155512,6.4,328
tt10155932,4.4,50108
tt10156112,7.3,1804
tt10160124,6.0,48
tt10160804,7.4,240542
tt10161640,8.4,64
tt10161886,5.9,30431
tt10162756,7.2,64
tt10162758,6.9,62
tt10163846,6.7,184
tt10165798,8.1,12
tt10167262,6.7,4885
tt10168312,7.3,158925
tt10168672,4.8,1985
tt10169098,8.0,114
tt10172048,8.9,45
tt10177486,5.8,175
tt10177712,7.2,61
tt10178558,6.0,20
tt10181594,5.3,92
tt10183816,5.4,19906
tt10183988,8.4,13843
tt10186846,7.4,3487
tt10187680,6.8,6895
tt10189442,7.5,15
tt10189506,7.5,80
tt10189536,4.7,3237
tt10192566,5.1,5383
tt10192576,7.9,4991
tt10194080,7.6,125
tt10196378,8.2,557
tt10196382,8.5,986
tt10196390,7.6,3140
tt10196630,5.9,148
tt10196742,8.4,60
tt10197860,5.8,28
tt10199410,7.5,72
tt10199586,6.7,11129
tt10199588,5.6,37
tt10199590,7.6,30301
tt10199914,6.8,19367
tt10203682,8.7,51
tt10207954,6.8,818
tt10209618,9.9,9
tt10213660,6.7,434
tt10214754,6.9,280
tt10217780,5.8,315
tt10218956,5.0,15
tt10219416,6.6,211
tt10220476,7.8,878
tt10223118,6.5,12
tt10225100,7.2,215
tt10225108,6.8,96
tt10227216,6.2,22
tt10227282,8.5,19
